source,raw_text
github_scipy,CI: pyparsing 3.3.0a1 deprecation warnings
github_scipy,BUG: optimize: COBYLA fails with a combination of fixed bounds and linear or nonlinear constriants
github_scipy,"CI: optimize: ""UserWarning: 'where' used without 'out'"" error causes ""mypy (py3.11) & dev deps (py3.14), fast, spin (3.14-dev, false)"" job to fail"
github_scipy,BUG: Hang in scipy 1.16.2 on macOS x86_64 in scipy.sparse.linalg.eigsh when called after fork
github_scipy,BUG: `find_peaks_cwt` sometimes finds troughs in addition to peaks
github_scipy,DOC: `BSpline.derivative` returns an invalid `BSpline` control point array
github_scipy,BUG: stats: custom distribution generated from `zipfian` has problem at support endpoint
github_scipy,Parallelization of `eig(h)`
github_scipy,hilbert2 tests skipped until CuPy bugfix is released
github_scipy,BUG: `xp_promote` and `xp_result_type` are slow for big tensors because `iter` is slow for tensors
github_scipy,BUG: `cobyqa` reports `success` status when `callback` raises `StopIteration`
github_scipy,BUG: integrate: `solve_ivp()` provides non C-contiguous Y array when calling user function when method='Radau'
github_scipy,BUG: `scipy.linalg.solve` raises `ValueError` with batched inputs when `b` is a 1-D array
github_scipy,BUG:  `scipy.sparse.linalg.norm` returns `numpy.int64` instead of `float` or `ndarray`
github_scipy,ENH: Allow scipy.stats.powerlaw to be defined over arbitrary domains
github_scipy,BUG: sparse: `csc_array.setdiag()` makes indices unsorted without setting has_sorted_indices to False
github_scipy,"CI: meson setup fails with ""invalid int value: 'Sentinel.UNSET'"""
github_scipy,BUG: `eigh_tridiagonal` doesn't yield correct results under sign inversion of Laplacian
github_scipy,BUG: optimize: incorrect termination criteria in minpack LMSTR?
github_scipy,BUG: `scipy.linalg.solve` is different depending on OS/architecture
github_scipy,CI: figure out plans for lock file updates
github_scipy,BUG: stats.multivariate_normal: produces different result with the same seed
github_scipy,BUG: optimize: crash in win-arm64 CI job in `optimize.root(method='lm')`
github_scipy,CI: benchmark job on CircleCI broken due to asv 0.6.5 release
github_scipy,DOC: Being clear about the distribution of `scipy.spatial.transform.Rotation.random()`
github_scipy,BUG: COO sparse array does not save/load correctly for >2D
github_scipy,"BUG: ´find_peaks_cwt´: Bad signal estimate hurts SNR, quality of output"
github_scipy,TST: adapt to NumPy warning change (mean of empty slice)
github_scipy,ENH: spatial: add an equivalent to MATLAB's inpolygon
github_scipy,DOC: wrong version for stats.f_oneway's equal_var parameter
github_scipy,BUG: io.netcdf_file: 32 bit int used instead of 64 bit
github_scipy,DOC: spmatrix argument to scipy.io.loadmat
github_scipy,"BUG: `lqmn(1,1,0)` and  `lqmn(1,1,0j)` return incompatible derivatives"
